waypoint1	waypoint2	distance_m	duration_s
Taliesin, County Road C, Spring Green, Wisconsin	Glacier National Park, West Glacier, MT	2295124	77877
French Quarter, New Orleans, LA	Fort Snelling, Tower Avenue, Saint Paul, MN	1918111	64816
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Breakers, Ochre Point Avenue, Newport, RI	3086364	107007
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2371804	80833
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Gateway Arch, Washington Avenue, St Louis, MO	450767	15584
Maryland State House, 100 State Cir, Annapolis, MD 21401	Graceland, Elvis Presley Boulevard, Memphis, TN	1477003	49164
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Carlsbad Caverns National Park, Carlsbad, NM	838205	29797
Liberty Bell, 6th Street, Philadelphia, PA	Cape Canaveral, FL	1616032	52455
Liberty Bell, 6th Street, Philadelphia, PA	The Breakers, Ochre Point Avenue, Newport, RI	441590	17050
San Andreas Fault, San Benito County, CA	French Quarter, New Orleans, LA	3280460	107188
USS Alabama, Battleship Parkway, Mobile, AL	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2977843	100630
Graceland, Elvis Presley Boulevard, Memphis, TN	Yellowstone National Park, WY 82190	2525142	89384
Shelburne Farms, Harbor Road, Shelburne, VT	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1272612	46515
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1666193	56442
Liberty Bell, 6th Street, Philadelphia, PA	Terrace Hill, Grand Avenue, Des Moines, IA	1738034	57962
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Statue of Liberty, Liberty Island, NYC, NY	570143	20624
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Ashfall Fossil Bed, Royal, NE	966083	33815
Liberty Bell, 6th Street, Philadelphia, PA	Bryce Canyon National Park, Hwy 63, Bryce, UT	3645564	121722
USS Alabama, Battleship Parkway, Mobile, AL	Congress Hall, Congress Place, Cape May, NJ 08204	1850697	62899
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1302468	44571
Taliesin, County Road C, Spring Green, Wisconsin	The Breakers, Ochre Point Avenue, Newport, RI	1856422	64636
Toltec Mounds, Scott, AR	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2318772	78193
Mount Vernon, Fairfax County, Virginia	Congress Hall, Congress Place, Cape May, NJ 08204	324803	13770
Acadia National Park, Maine	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2102060	72108
New Castle Historic District, Delaware	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1291115	43471
Hanford Site, Benton County, WA	Columbia River Gorge National Scenic Area, Oregon	202252	7435
Graceland, Elvis Presley Boulevard, Memphis, TN	The Breakers, Ochre Point Avenue, Newport, RI	2058073	70205
Hanford Site, Benton County, WA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4548789	150777
Hoover Dam, NV	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2925122	95114
Liberty Bell, 6th Street, Philadelphia, PA	The Alamo, Alamo Plaza, San Antonio, TX	2798206	91606
Fort Snelling, Tower Avenue, Saint Paul, MN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3281604	106586
Mount Vernon, Fairfax County, Virginia	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2860469	94932
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Breakers, Ochre Point Avenue, Newport, RI	2726973	92641
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Toltec Mounds, Scott, AR	1846386	64079
Mount Vernon, Fairfax County, Virginia	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	829819	29268
Carlsbad Caverns National Park, Carlsbad, NM	Craters of the Moon National Monument & Preserve, Arco, ID	1929974	71012
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3829705	124419
